,Name,Taste,Type,Function,Effect
95,海桐皮,苦、辛、平,肝、肾,祛风湿、通经络、杀虫、止痒,风湿、痹痛、腰膝、酸痛、跌打、损伤、疥癣、湿疹
96,蚕沙,甘、辛、温,肝、脾、胃,祛风、除湿、和胃,风湿、痹痛、肢体、不遂、吐泻、风疹、湿疹、皮肤、瘙痒
97,寻骨风,辛、苦、平,肝,祛风、通络、活血、止痛,风湿、痹痛、肢体、麻木、筋脉、拘挛、胃痛、牙痛、跌打、损伤
98,海风藤,辛、苦、微温,肝,祛风、除湿、通络、止痛,风湿、痹痛、腰膝、酸痛、筋脉、拘挛、不利
99,千年健,辛、苦、温,肝、肾,祛风湿、强筋骨、消肿、止痛,风湿、痹痛、腰膝酸软无力、胃痛、跌打、损伤、疮疡
100,松节,苦、辛、温,肝、肾,祛风、散寒、燥湿、活血通络止痛,风寒、湿痹、疼痛、跌打、伤痛
101,八角枫,辛、温,有大毒,祛风、除湿、散瘀、通络,风湿、痹痛、麻木、腰痛、跌打、损伤
102,马钱子,苦、寒,有毒,通络、止痛、散结、消肿,风湿、麻木、咽喉、痹痛、痈疽、肿毒、跌仆、伤痛
103,接骨木,甘、苦、平,肝、肾,祛风、除湿、活血、止痛,风湿、痹痛、跌打、出血
104,老鹳草,苦、辛、平,肝、大肠,祛风湿、通经络、清热利湿解毒,风湿、痹痛、筋骨、酸痛、麻木、跌打、损伤、湿热、泻痢、瘙痒、痈肿
105,伸筋草,苦、辛、温,肝、肾、脾,祛风、散寒、除湿、消肿、活血,风寒、湿痹、筋脉、拘挛、麻木、跌打、损伤、水肿、胀满
106,透骨草,辛、温,肝,祛风、除湿、活血,疼痛、筋骨、拘挛
107,雷公藤,苦、寒,有大毒,祛风、除湿、活血、通络、解毒,类风湿性炎、风湿性炎、肾病综合征、麻风
108,金钱白花蛇,甘、咸、温,有毒,搜风、通络、定惊、止痒,风湿、中风、不遂、小儿、惊风、破伤风、偏头痛、麻风、疥癣
109,乌梢蛇,甘、平,肝、脾,搜风、通络、止痉,风湿、麻风、破伤风、风疹、疥癣、小和麻痹后遗症
110,香加皮,辛、苦、微温,有毒,祛风湿、强筋骨、利水、消肿,风湿、痹痛、腰膝酸软无力、小儿、心悸、水肿、小便、不利
111,石南叶,辛、苦、平,有小毒,祛风湿、通经络,风湿、痹痛、酸痛、无力、偏头痛、无力、偏头痛、风疹、瘙痒
112,苍术,辛、苦、温,脾、胃,燥湿、健脾、祛风、散寒、明目,脘腹、胀满、吐泻、水肿、痰饮、风湿、痹痛、脚气、淋浊、带下、风寒、感冒
113,厚朴,苦、辛、温,脾、胃、肺、大肠,燥湿、消痰、下气,吐泻、食积、气滞、腹胀、便秘、痰饮、喘咳
114,藿香,辛、温,脾、胃、肺,化湿、辟秽、和中,脾胃、脘腹、胀满、初起、呕吐、泄泻、暑湿、发热、发热、满闷
115,佩兰,辛、平,脾、胃、肺,化湿、辟秽、解表,脘腹、痞满、呕吐、外感、暑湿、初起、寒热、胸闷、纳呆
116,砂仁,辛、温,脾、胃,化湿、行气、温中、止泻、安胎,气滞、脘腹、胀痛、脾胃、虚寒、呕吐、泄泻、妊娠、胎动不安
117,砂仁壳,微辛、温,脾、胃,化湿、行气、和胃,证、脘腹、胀满、呕吐、纳呆
118,白豆蔻,辛、温,脾、胃、肺,化湿、理气、和中、止呕,气滞、胸闷、脘腹、胀满、反胃、呕吐、噫气、呃逆
119,白蔻壳,微辛、温,脾、胃,化湿、理气、和胃,气滞轻证、脘腹、呕吐
120,草豆蔻,辛、温,脾、胃,燥湿、温中,寒湿、脘腹、冷痛、呕吐、泄泻、痞满、噎膈、反胃、痰饮、积聚
121,草果,辛、温,脾、胃,燥湿、温中、消积、祛痰、截疟,寒湿、阻滞、脘腹、冷痛、痞满、呕吐、食积、泻痢、疟疾、寒热
122,茯苓,甘、淡、平,心、脾、肺、肾,利水、健脾,水肿、痰饮、脾虚、食少、便溏、泄泻、不安、惊悸、失眠
123,猪苓,甘、淡、平,心、脾、肾,利水,小便、不利、水肿、胀满、泄泻、淋浊、带下
124,泽泻,甘、淡、寒,肾、膀胱,利水,小便、不利、水肿、胀满、泄泻、痰饮、眩晕、热淋、涩痛
125,薏苡仁,甘、淡、微寒,脾、胃、肺,利水、健脾、止泻、清热、排脓,小便、不利、水肿、脚气、湿痹、拘挛、初起以及脾虚泄泻、肺痈、肠痈
126,车前子,甘、寒,肾、膀胱、肝、肺,利水、清热、明目、化痰,小便、不利、淋浊、带下、泄泻、水肿、目赤、肿痛、咳嗽
127,车前草,甘、寒,肾、膀胱、肝,利水、清肝、明目、清热、解毒,小便淋涩疼痛、尿血、水肿、湿热、泻痢、目赤、肿痛、热毒、痈肿
128,滑石,甘、淡、寒,膀胱、胃,利尿、通淋、清热、敛疮,热淋、石淋、涩痛、暑湿、烦渴、湿热水泻；湿疹
129,川木通,淡、微苦、微寒,心、肺、膀胱,清热、利水、通经、下乳,水肿、热淋、经闭、产后
130,关木通,苦、寒,心、小肠、膀胱,利水、通淋、清心,小便、热淋、涩痛、口舌生疮、心烦、不安、产后
131,通草,甘、淡、微寒,肺、胃,清肺、利水,小便、不利、淋证、水肿、产妇
132,金钱草,甘、淡、平,肝、胆、肾、膀胱,利水通淋；清热解毒；散瘀消肿,肝胆及泌尿系结石；热淋；水肿；湿热黄疸；疮毒痈肿；毒；
133,海金沙,甘、淡、寒,膀胱、胆,利水、通淋,热淋、血淋、石淋、湿热、黄疸、胆石症
134,石韦,苦、甘、微寒,膀胱、肺,利水、通淋、清肺、止血,淋证、小便、不利、水肿、肺热、喘咳、尿血、崩漏、吐血、衄血
135,萆薢,苦、平,肾、膀胱、肝、胃,祛风湿,白浊、带下、风湿、痹痛、腰膝、疼痛、湿热、疮毒
136,茵陈蒿,苦、微寒,脾、胃、肝、胆,清热、利湿,
137,地肤子,苦、甘、寒,肾、膀胱,清热、利湿、祛风、止痒,小便、不利、涩痛、阴痒、带下、风疹、湿疹、皮肤、瘙痒
138,冬瓜皮,甘、淡、微寒,脾、肺、小肠,利水、消肿,水肿、胀满、小便、不利
139,赤小豆,甘、酸、平,心、脾、小肠,利水、消肿、解毒、排脓,水肿、脚气、淋证、黄疸、便血、热毒、痈肿
140,萹蓄,苦、寒,膀胱,清热、利水、杀虫,淋证、小便、不利、病、病；湿疹、带下、阴痒
141,瞿麦,苦、寒,心、小肠、膀胱,利水、通淋、活血、通经,热淋、血淋
142,灯心草,甘、淡、微寒,心、肺、小肠、膀胱,利水、通淋、清心、除烦,热淋、水肿、湿热、黄疸、小便、不利、心烦、小儿、喉痹
143,冬葵子,甘、寒,大肠、小肠、膀胱,利水、通淋、下乳,淋证、水肿、小便、不利、乳痈、初起、大便
144,防己,苦、寒,膀胱、肾、脾,利水、消肿、祛风、止痛,水肿、脚气、小便、不利、风湿、痹痛、湿疹、疮毒
145,蝼蛄,咸、寒,膀胱、大肠、小肠,利水、通便、解毒,二便、不利、水肿、胀满、石淋、瘰疬、痈肿、恶疮
146,蟋蟀,辛、咸、温,膀胱、小肠,利水、消肿,小便、不利、水肿、鼓胀
147,鸭跖草,甘、淡、寒,肺、胃、膀胱,清热、利湿、解毒、消肿,温病、发热、咽喉、肿痛、湿热、淋证、水肿、疔疮、痈肿、丹毒
148,杠板归,酸、苦、平,肺、膀胱、大肠、小肠,利水、消肿、清热、解毒,水肿、淋浊、湿热、泻痢、黄疸、喉痹、咽痛、瘰疬、痈肿、丹毒、湿疹
149,玉米须,甘、淡、平,肝、肾、膀胱,利水、消肿、退黄,水肿、淋证、消渴、湿热、黄疸、胆石症
150,附子,辛、大热；有毒,心、肾、脾,救逆、助阳、散寒、止痛,胸痹、心痛、虚寒、吐泻、脘腹、冷痛、阳痿、宫冷、水肿、外感、寒湿、痹痛
151,川乌头,辛、苦、热,有大毒,散寒、祛风、除湿,心腹、冷痛、寒疝、腹痛、头痛、风寒、湿痹、疼痛、麻木、手足拘挛；阴疽肿毒
152,草乌头,辛、苦、热,有大毒,散寒、止痛、搜风,心腹、冷痛、寒疝、风寒、湿痹、头痛、阴疽、瘰疬
153,干姜,辛、热,脾、胃、心、肺,温中、散寒,脘腹、冷痛、呕吐、泄泻、喘咳
154,肉桂,辛、甘、大热,肾、脾、心、肝,助阳、散寒、止痛,腰膝无力、阳痿、宫冷、不孕、心腹、冷痛、虚寒、吐泻、寒疝、痛经、阴疽
155,吴茱萸,辛、苦、热,有小毒,散寒、止痛、疏肝、降逆、止呕,头痛、寒疝、痛经、脘腹、呕吐、虚寒、泄泻、寒湿、脚气
156,花椒,辛、温,有小毒,温中、止痛、燥湿、杀虫,脘腹、冷痛、呕吐、泻痢、病；湿疹、瘙痒
157,荜茇,辛、热,胃、大肠,温中、散寒、下气、止痛,脘腹、冷痛、呕吐、呃逆、泄泻；牙痛、偏头痛
158,荜澄茄,辛、苦、温,脾、胃、肾、膀胱,温中、行气、止痛,脘腹、冷痛、呕吐、呃逆、泄泻、寒疝、腹痛、小便、不利
159,丁香,辛、温,脾、胃、肾,温中、降逆、散寒、止痛、助阳,呃逆、呕吐泄　泻、心腹、冷痛、阳痿
160,高良姜,辛、温,脾、胃,温中、散寒、行气、止痛,脘腹、冷痛、呕吐、泄泻、噎膈、反胃、寒疝、腹痛
161,小茴香,辛、温,肝、肾、脾胃,散寒、理气、止痛,寒疝、腹痛、腰痛、痛；脘腹胀痛、呕吐、泄泻
162,胡椒,辛、热,胃、大肠,温中、散寒、行气、止痛,脘腹、冷痛、不消、呕吐、泄泻
163,红豆蔻,辛、温,脾、肺,温中、散寒、行气、消食,脘腹、呕吐、泄泻、噎膈、反胃
164,山柰,辛、温,脾、胃,温中、行气、消食、止痛,脘腹、冷痛、寒湿、吐泻、跌打、伤痛、牙痛
165,九香虫,咸、温,肾、肝、胃,温中、理气、止痛,肾虚、阳痿、脘腹胀痛
166,橘皮,辛而微苦、温,脾、肺,理气、燥湿、化痰,胀满、呕吐、咳嗽、痰多
167,青皮,苦、辛、温,肝、胆、胃,疏肝、散结,胸胁、胀痛、疝气、乳痈、食积、腹痛、癥瘕、积聚
168,枳实,苦、辛、酸、微寒,脾、胃、大肠,消积、化痰,积滞、脘腹痞满胀痛、便秘、泻痢；痰阴气滞胸痞满闷、胸痹、子宫脱垂、脱肛
169,枳壳,苦、辛、酸、微寒,肺、脾、大肠,理气、消积,胸胁痞满胀痛、食积、脘腹、胀痛、呕吐、呃逆、肠风便血；、子宫脱垂、脱肛
170,佛手,辛、苦、酸、温,肝、胃,疏肝、和胃、行气、止痛、燥湿、化痰,肝胃、气滞、脘腹胀痛、痞满、呕吐、纳呆、咳嗽、痰多
171,香橼,辛、苦、酸、温,肝、脾、胃、肺,疏肝、理气、化痰,肝胃、气滞、胸胁脘腹胀痛、痞满、呕吐食少；咳嗽痰多、胸闷
172,木香,辛、苦、温,肝、脾、胃、大肠,行气、止痛、健脾、和胃,胸胁脘腹胀痛、食积、不消、食欲不振、反胃、呕吐、泻痢、胆石症
173,青木香,辛、苦、寒,肝、胃,行气、止痛、解毒、消肿,胸胁、胀痛、脘腹、疼痛、症；痈肿疔疮
174,香附,辛、微苦、微甘、平,肝、三焦,疏肝、解郁、理气、止痛,气滞、胸胁、胀痛、疝气、疼痛、胀痛、脾胃、气滞、脘腹、胀满、疼痛、月经、不调、经闭、痛经
175,乌药,辛、温,脾、肺、肾、膀胱,理气、止痛、散寒,脘腹、胀痛、寒疝、痛经；、遗尿、尿频
176,沉香,辛、苦、温,脾、胃、肾,行气、止痛、降逆、纳气,疼痛、呕吐呃逆、肾咳痰多
177,川楝子,苦、寒,有小毒,疏肝、理气、杀虫、止痛,胸胁、胀痛、脘腹、疼痛、痛经、虫积腹痛；头癣
178,薤白,辛、苦、温,肺、胃、大肠,散结、行气,胸痹、心痛、脘腹痞满胀痛、泻痢
179,檀香,辛、温,脾、胃、肺,理气、散寒、和胃、止痛,气滞、脘腹、胀痛、痞满、噎膈、呕吐、胸痹、心痛、虚寒
180,刀豆,甘、温,脾、胃、肾,温中、下气,虚寒、呃逆、呕吐、肾虚、腰痛
181,柿蒂,苦、涩、平,胃,,呃逆、噫气、反胃
182,甘松,辛、甘、温,脾、胃,理气、止痛,脾胃、气滞、脘腹、胀痛、食欲不振
183,八月札,苦、甘、寒,肝、脾、肾,疏肝、理气、活血、止痛,胸胁、疼痛、肝胃、纳呆、疝气、疼痛、肿痛、瘰疬、痰核、血瘀、经闭、痛经
184,玫瑰花,甘、微苦、温,肝、脾,理气、解郁、散瘀,胸闷、胁痛、肝胃、月经、不调、赤白、带下、乳痈
185,绿萼梅,微酸、涩、平,肝、胃,疏肝、解郁、和中、化痰,胸闷、肝胃、纳呆、烦渴、瘰疬
186,紫苏梗,辛、甘、微温,脾、胃、肺,理气、解郁、和中、安胎,肝胃、脘腹、胀痛、呕吐、胎动、不安
187,天仙藤,苦、温,肝、脾,行气、活血、化湿、消肿,脘腹、疼痛、产后腹痛肢体痹痛、妊娠、水肿
188,降香,辛、温,心、肝、脾,行气、活血、止血,胸痹、心痛、刺痛、吐血、咯血、跌打、损伤、外伤、出血
189,路路通,辛、苦、平,肝、胃、膀胱,行气、止痛、祛风、除湿、活血、通络,疼痛、脘腹胀满；风湿痹痛、拘挛麻木、跌打肿痛；水肿胀满、小便、不利、经闭、；痈疽、湿疹、疥癣
190,橘核,苦、平,肝、肾,理气、散结、止痛,疝气、疼痛、肿痛、乳痈
